term,cosine_similarity
treatment,0.8097841
service,0.7434286
management,0.72936
intervention,0.72892785
maintenance,0.7279061
protection,0.72437316
healthcare,0.72182107
support,0.7050562
control,0.70366347
hospital,0.7015857
welfare,0.68312967
responsibility,0.6758677
health,0.6729043
action,0.66219485
concern,0.6614022
condition,0.66015923
respect,0.6573572
value,0.6534673
program,0.6532432
practice,0.6522572
home,0.65215474
effort,0.6513481
planning,0.64671654
consideration,0.64631
development,0.6461808
documentation,0.6461078
conservation,0.64588624
education,0.6458292
assessment,0.64527494
work,0.6449612
performance,0.6447529
engagement,0.6441724
preservation,0.6412227
organization,0.6409375
use,0.6397759
plan,0.63818705
attention,0.6376723
medicine,0.6340944
patient,0.6319238
access,0.6315824
decision,0.6312783
professional,0.6301955
restoration,0.6294495
life,0.6284914
making,0.62848586
function,0.62692016
interpretation,0.62623465
initiative,0.625832
interest,0.62327963
experience,0.62263197
resource,0.6217856
system,0.62136483
design,0.6208484
response,0.61852735
person,0.61767143
quality,0.6168376
construction,0.6162715
evaluation,0.6112102
attitude,0.6107406
training,0.61048365
place,0.61020756
practitioner,0.60911894
investigation,0.60842717
benefit,0.60829645
policy,0.60733795
information,0.6056918
material,0.59732693
environment,0.5971943
status,0.5967332
space,0.59624887
staff,0.5946632
participation,0.5945239
risk,0.5939623
production,0.593186
interaction,0.5931277
ethic,0.59306324
knowledge,0.5920758
activity,0.59206617
relationship,0.59089756
creation,0.5898762
display,0.5896562
approach,0.58918786
need,0.5889853
institution,0.58898365
solution,0.5876515
situation,0.5873678
outcome,0.5872357
relation,0.586584
learning,0.586461
setting,0.58614343
connection,0.5857956
culture,0.58567095
project,0.58512723
understanding,0.5848632
record,0.584845
family,0.5847062
structure,0.5846466
product,0.58457536
tool,0.58444905
collection,0.58406633
technique,0.5839263
land,0.58318174
awareness,0.58310485
storage,0.5827854
change,0.58224976
strategy,0.5820974
view,0.5818255
communication,0.5812786
house,0.580723
process,0.5806452
form,0.5789318
power,0.5780803
significance,0.5765032
disease,0.5763481
feature,0.5762991
event,0.5760697
course,0.5751488
resident,0.5750436
sense,0.5744372
characteristic,0.5742551
meaning,0.57347864
water,0.5730959
location,0.5729561
image,0.5723651
area,0.57162213
content,0.5709326
document,0.57013005
context,0.569847
state,0.5687282
child,0.5686642
method,0.5686621
body,0.56789565
analysis,0.5675668
survey,0.5671935
member,0.5670495
property,0.5668562
adult,0.5661831
application,0.5657867
community,0.56564057
memory,0.56443965
focus,0.56278783
narrative,0.56195617
school,0.5611791
reflection,0.560853
skill,0.560292
research,0.5591402
landscape,0.55765057
tradition,0.5573052
sustainability,0.55640435
discussion,0.55536336
building,0.5549772
site,0.554258
story,0.55392104
population,0.5519185
parent,0.5515945
aspect,0.55071306
source,0.55027854
individual,0.5499513
importance,0.5489368
people,0.5487253
scale,0.5468926
problem,0.5467489
contribution,0.5463276
belief,0.54523075
impact,0.5443002
stakeholder,0.54396254
society,0.5439521
text,0.54377246
concept,0.54370296
type,0.543499
case,0.5425261
time,0.5424226
level,0.5419954
visitor,0.541754
term,0.54170024
idea,0.54157305
crisis,0.54129136
issue,0.5409795
art,0.5403569
nature,0.54027045
legacy,0.5400285
study,0.53785133
object,0.53767884
role,0.5375658
identity,0.53735936
technology,0.53519005
death,0.5351394
man,0.53378016
surface,0.53273374
museum,0.53081137
order,0.5302706
science,0.5300939
sector,0.5300257
group,0.52727
element,0.52693355
government,0.52660805
influence,0.5259072
collaboration,0.5254535
sample,0.5251684
generation,0.5248954
tourism,0.5246559
model,0.52456224
way,0.52392083
library,0.52372664
archive,0.52289885
church,0.5217988
principle,0.521528
perspective,0.52108884
animal,0.52097356
field,0.52061164
architecture,0.5190841
challenge,0.5189159
researcher,0.5184804
monument,0.51749086
background,0.51677233
network,0.51641935
heritage,0.5163042
self,0.5157846
dimension,0.5156901
evidence,0.51561046
insight,0.5154003
age,0.5151477
methodology,0.5103269
discipline,0.50833654
teacher,0.50760067
effect,0.50625896
year,0.50607896
framework,0.50584704
history,0.5049449
number,0.5045559
point,0.5036625
tourist,0.5035572
theory,0.50316757
region,0.50153124
world,0.50015926
purpose,0.49994174
artwork,0.4991399
interview,0.49808526
review,0.496307
law,0.49620757
possibility,0.49411404
day,0.4939441
remain,0.49316162
topic,0.49178243
lack,0.49054986
difference,0.48781914
literature,0.48612922
period,0.48612535
exhibition,0.48568144
nation,0.48211324
factor,0.481423
public,0.48008877
painting,0.47998226
plant,0.4773625
archaeology,0.4766279
example,0.4753014
dementia,0.4748032
country,0.4741991
question,0.47314975
matter,0.47060007
goal,0.47040284
student,0.46447957
woman,0.46254614
participant,0.45949948
city,0.45908976
opportunity,0.45893693
result,0.45511484
implication,0.4526019
finding,0.45049196
book,0.44893277
decade,0.44789934
artist,0.4463609
addition,0.44627416
potential,0.44263947
future,0.4421689
volume,0.43693447
objective,0.43535078
today,0.43402785
century,0.42761618
language,0.42453778
conclusion,0.4238199
end,0.4216476
selection,0.4194492
range,0.41103673
past,0.40730897
aim,0.40480807
author,0.39838704
hand,0.38938728
chapter,0.38427824
climate,0.3759846
gender,0.3724729
medium,0.37026748
paper,0.36846775
article,0.33460557
contributor,0.32200336
editorial,0.306988
right,0.2847287
trading,0.25631317
